task,budget,challenger,seed,decision,false_certification,safe,continue,abstain,cost,repair_gain,cumulative_recall,after_support_ratio,after_exposure_gini
requests,1,random,140,CONTINUE,False,False,True,False,1039,20,0.17114093959731544,0.2916666666666667,0.8846726190476191
requests,1,random,141,ABSTAIN,False,False,False,True,314,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,142,CONTINUE,False,False,True,False,696,64,0.3187919463087248,0.2916666666666667,0.8846726190476191
requests,1,random,143,CONTINUE,False,False,True,False,1086,30,0.20469798657718122,0.2916666666666667,0.8846726190476191
requests,1,random,144,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,145,CONTINUE,False,False,True,False,1039,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,146,ABSTAIN,False,False,False,True,1086,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,147,ABSTAIN,False,False,False,True,696,0,0.1040268456375839,0.25,0.8891369047619047
requests,1,random,148,CONTINUE,False,False,True,False,696,38,0.23154362416107382,0.2916666666666667,0.8846726190476191
requests,1,random,149,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,150,CONTINUE,False,False,True,False,1039,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,151,ABSTAIN,False,False,False,True,831,0,0.1040268456375839,0.25,0.888392857142857
requests,1,random,152,CONTINUE,False,False,True,False,831,33,0.21476510067114093,0.2916666666666667,0.8846726190476191
requests,1,random,153,CONTINUE,False,False,True,False,831,33,0.21476510067114093,0.2916666666666667,0.8846726190476191
requests,1,random,154,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,155,CONTINUE,False,False,True,False,696,38,0.23154362416107382,0.2916666666666667,0.8846726190476191
requests,1,random,156,CONTINUE,False,False,True,False,1086,8,0.13087248322147652,0.2916666666666667,0.8846726190476191
requests,1,random,157,CONTINUE,False,False,True,False,696,64,0.3187919463087248,0.2916666666666667,0.8846726190476191
requests,1,random,158,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
requests,1,random,159,ABSTAIN,False,False,False,True,1086,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,160,ABSTAIN,False,False,False,True,696,0,0.1040268456375839,0.25,0.8891369047619047
requests,1,random,161,CONTINUE,False,False,True,False,1086,8,0.13087248322147652,0.2916666666666667,0.8846726190476191
requests,1,random,162,CONTINUE,False,False,True,False,1039,1,0.10738255033557047,0.2916666666666667,0.8846726190476191
requests,1,random,163,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
requests,1,random,164,ABSTAIN,False,False,False,True,1039,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,165,CONTINUE,False,False,True,False,1039,42,0.24496644295302014,0.2916666666666667,0.8846726190476191
requests,1,random,166,CONTINUE,False,False,True,False,1086,30,0.20469798657718122,0.2916666666666667,0.8846726190476191
requests,1,random,167,CONTINUE,False,False,True,False,831,9,0.1342281879194631,0.2916666666666667,0.8846726190476191
requests,1,random,168,ABSTAIN,False,False,False,True,314,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,169,ABSTAIN,False,False,False,True,1086,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,170,CONTINUE,False,False,True,False,831,7,0.12751677852348994,0.2916666666666667,0.8846726190476191
requests,1,random,171,CONTINUE,False,False,True,False,831,7,0.12751677852348994,0.2916666666666667,0.8846726190476191
requests,1,random,172,ABSTAIN,False,False,False,True,314,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,173,CONTINUE,False,False,True,False,831,7,0.12751677852348994,0.2916666666666667,0.8846726190476191
requests,1,random,174,ABSTAIN,False,False,False,True,314,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,175,ABSTAIN,False,False,False,True,831,0,0.1040268456375839,0.25,0.888392857142857
requests,1,random,176,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.25,0.8876488095238095
requests,1,random,177,CONTINUE,False,False,True,False,831,33,0.21476510067114093,0.2916666666666667,0.8846726190476191
requests,1,random,178,ABSTAIN,False,False,False,True,1039,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,179,CONTINUE,False,False,True,False,1086,8,0.13087248322147652,0.2916666666666667,0.8846726190476191
requests,1,random,180,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.25,0.8876488095238095
requests,1,random,181,CONTINUE,False,False,True,False,831,33,0.21476510067114093,0.2916666666666667,0.8846726190476191
requests,1,random,182,CONTINUE,False,False,True,False,831,9,0.1342281879194631,0.2916666666666667,0.8846726190476191
requests,1,random,183,CONTINUE,False,False,True,False,1086,8,0.13087248322147652,0.2916666666666667,0.8846726190476191
requests,1,random,184,ABSTAIN,False,False,False,True,314,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,185,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,186,CONTINUE,False,False,True,False,696,64,0.3187919463087248,0.2916666666666667,0.8846726190476191
requests,1,random,187,ABSTAIN,False,False,False,True,1039,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,188,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
requests,1,random,189,ABSTAIN,False,False,False,True,314,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,190,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,191,CONTINUE,False,False,True,False,696,38,0.23154362416107382,0.2916666666666667,0.8846726190476191
requests,1,random,192,CONTINUE,False,False,True,False,831,7,0.12751677852348994,0.2916666666666667,0.8846726190476191
requests,1,random,193,CONTINUE,False,False,True,False,1039,20,0.17114093959731544,0.2916666666666667,0.8846726190476191
requests,1,random,194,CONTINUE,False,False,True,False,1086,30,0.20469798657718122,0.2916666666666667,0.8846726190476191
requests,1,random,195,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,196,ABSTAIN,False,False,False,True,157,0,0.1040268456375839,0.2916666666666667,0.8846726190476191
requests,1,random,197,CONTINUE,False,False,True,False,1086,30,0.20469798657718122,0.2916666666666667,0.8846726190476191
requests,1,random,198,ABSTAIN,False,False,False,True,314,0,0.1040268456375839,0.25,0.8869047619047619
requests,1,random,199,CONTINUE,False,False,True,False,314,2,0.11073825503355705,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,0,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,1,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,2,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,3,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,4,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,5,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,6,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,7,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,8,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,9,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,10,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,11,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,12,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,13,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,14,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,15,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,16,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,17,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,18,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,19,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,20,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,21,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,22,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,23,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,24,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,25,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,26,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,27,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,28,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,29,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,30,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,31,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,32,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,33,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,34,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,35,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,36,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,37,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,38,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,39,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,40,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,41,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,42,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,43,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,44,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,45,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,46,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,47,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,48,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
requests,1,low_exposure,49,CONTINUE,False,False,True,False,696,4,0.1174496644295302,0.2916666666666667,0.8846726190476191
