task,condition,state_type,seed,budget,challenger,full_decision,recall,support,gini,repair_gain,repair_cost,residual_warning,unresolved_warning,oracle_safe,geometry_ok
requests,repair:random,seeded_unsafe_repair,46,4,random,CONTINUE,0.2651006711409396,0.375,0.8757246376811594,48.0,3262.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,47,4,random,CONTINUE,0.2483221476510067,0.3333333333333333,0.8786231884057971,43.0,2880.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,48,4,random,CONTINUE,0.2214765100671141,0.375,0.875,35.0,2388.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,49,4,random,CONTINUE,0.261744966442953,0.375,0.873550724637681,47.0,2745.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,50,4,random,CONTINUE,0.1912751677852349,0.4166666666666667,0.8692028985507245,26.0,2753.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,51,4,random,CONTINUE,0.2147651006711409,0.3333333333333333,0.8793478260869565,33.0,1976.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,52,4,random,CONTINUE,0.2416107382550335,0.375,0.8757246376811594,41.0,2927.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,53,4,random,CONTINUE,0.3791946308724832,0.4166666666666667,0.8692028985507245,82.0,2858.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,54,4,random,CONTINUE,0.2550335570469799,0.3333333333333333,0.8786231884057971,45.0,2341.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,55,4,random,CONTINUE,0.2684563758389262,0.4166666666666667,0.8692028985507245,49.0,2096.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,56,4,random,CONTINUE,0.3892617449664429,0.375,0.875,85.0,3652.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,57,4,random,CONTINUE,0.174496644295302,0.375,0.8757246376811594,21.0,2672.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,58,4,random,CONTINUE,0.1644295302013423,0.4166666666666667,0.8692028985507245,18.0,3160.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,59,4,random,CONTINUE,0.3758389261744966,0.4166666666666667,0.8692028985507245,81.0,2978.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,60,4,random,CONTINUE,0.1442953020134228,0.375,0.873550724637681,12.0,1616.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,61,4,random,CONTINUE,0.1711409395973154,0.3333333333333333,0.8793478260869565,20.0,2184.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,62,4,random,CONTINUE,0.261744966442953,0.375,0.8742753623188404,47.0,1841.0,True,False,False,False
