task,condition,state_type,seed,budget,decision,recall,support,gini,residual_warning,unresolved_warning,runtime_residual_items,weak_plausible_gap,repair_gain,cost
requests,repair:random,seeded_unsafe_repair,67,4,CONTINUE,0.3859060402684564,0.375,0.873550724637681,True,False,84.0,12.0,84.0,3470.0
requests,repair:random,seeded_unsafe_repair,68,4,CONTINUE,0.4832214765100671,0.4166666666666667,0.8692028985507245,True,False,113.0,11.0,113.0,4042.0
requests,repair:random,seeded_unsafe_repair,69,4,CONTINUE,0.1174496644295302,0.2916666666666667,0.8829710144927536,True,False,4.0,14.0,4.0,2635.0
requests,repair:random,seeded_unsafe_repair,70,4,CONTINUE,0.3590604026845637,0.375,0.873550724637681,True,False,76.0,12.0,76.0,3135.0
requests,repair:random,seeded_unsafe_repair,71,4,CONTINUE,0.4597315436241611,0.4166666666666667,0.8692028985507245,True,False,106.0,11.0,106.0,2672.0
requests,repair:random,seeded_unsafe_repair,72,4,CONTINUE,0.2818791946308724,0.375,0.8742753623188404,True,False,53.0,12.0,53.0,2770.0
requests,repair:random,seeded_unsafe_repair,73,4,CONTINUE,0.2953020134228188,0.4166666666666667,0.8692028985507245,True,False,57.0,12.0,57.0,2880.0
requests,repair:random,seeded_unsafe_repair,74,4,CONTINUE,0.2583892617449664,0.4166666666666667,0.8692028985507245,True,False,46.0,11.0,46.0,2672.0
requests,repair:random,seeded_unsafe_repair,75,4,CONTINUE,0.2751677852348993,0.3333333333333333,0.8793478260869565,True,False,51.0,13.0,51.0,3605.0
requests,repair:random,seeded_unsafe_repair,76,4,CONTINUE,0.2651006711409396,0.4166666666666667,0.8692028985507245,True,False,48.0,12.0,48.0,2549.0
requests,repair:random,seeded_unsafe_repair,77,4,CONTINUE,0.110738255033557,0.4166666666666667,0.8692028985507245,True,False,2.0,14.0,2.0,942.0
requests,repair:random,seeded_unsafe_repair,78,4,CONTINUE,0.1174496644295302,0.3333333333333333,0.8764492753623188,True,False,4.0,14.0,4.0,2253.0
requests,repair:random,seeded_unsafe_repair,79,4,CONTINUE,0.2953020134228188,0.4166666666666667,0.8692028985507245,True,False,57.0,11.0,57.0,2341.0
requests,repair:random,seeded_unsafe_repair,80,4,CONTINUE,0.2080536912751678,0.375,0.875,True,False,31.0,13.0,31.0,3270.0
requests,repair:random,seeded_unsafe_repair,81,4,CONTINUE,0.3624161073825503,0.375,0.875,True,False,77.0,12.0,77.0,3015.0
requests,repair:random,seeded_unsafe_repair,82,4,CONTINUE,0.2919463087248322,0.375,0.873550724637681,True,False,56.0,12.0,56.0,2341.0
requests,repair:random,seeded_unsafe_repair,83,4,CONTINUE,0.4496644295302013,0.4166666666666667,0.8692028985507245,True,False,103.0,11.0,103.0,2931.0
