seed,condition,dependency,n_strata,items_per_stratum,hard_fraction,stopped_round,total_items,found_items,recall,false_completion,source_coverage_ratio,coverage_entropy,coverage_hhi,coverage_gini,visit_entropy,visit_hhi,source_normalized_effective_rank,source_logdet_volume,pairwise_route_jaccard,pairwise_cosine,scout_new_items,scout_new_true_items,scout_cost,scout_novelty_per_cost,singular_values
2621,homogeneous,0.98,42,5,0.4,14,210,136,0.6476190476190476,True,0.8571428571428571,3.3560894309275207,0.03776856898337912,0.4285714285714286,3.3215266708153712,0.03996598639455781,0.7220304147775711,14.33713135744446,0.7810786435786436,0.9009120343104943,0,0,0,,33.453;6.8175;5.6912
2622,homogeneous,0.98,42,5,0.4,14,210,145,0.6904761904761905,True,0.9523809523809523,3.441324384146487,0.035076592313894116,0.3839968774395004,3.4144025986725186,0.036546910430839005,0.7538951347209331,14.785722312017043,0.7452452452452452,0.868969579498659,0,0,0,,33.027;8.0649;6.0984
2623,homogeneous,0.98,42,5,0.4,14,210,148,0.7047619047619048,True,0.9285714285714286,3.436764134533069,0.0352504638218924,0.3903834260977119,3.42281094442547,0.035785147392290245,0.7984301012150303,15.583964239711285,0.7045574986751458,0.8251591537959161,0,0,0,,33.395;9.2088;7.8728
2624,homogeneous,0.98,42,5,0.4,14,210,145,0.6904761904761905,True,0.9285714285714286,3.433263786552203,0.03504376331387071,0.37770922322417344,3.407573183573609,0.036405187074829926,0.7784517761368401,15.102948243026312,0.7418300653594772,0.8495823706152265,0,0,0,,32.552;7.9682;7.3387
2625,homogeneous,0.98,42,5,0.4,14,210,134,0.638095238095238,True,0.7619047619047619,3.3044175017876403,0.038973079767331484,0.44542002847650686,3.2853828596282204,0.04008999433106576,0.7319132157710793,14.642238055226816,0.8247311827956989,0.887549494897371,0,0,0,,34.308;8.1849;5.3842
2626,homogeneous,0.98,42,5,0.4,14,210,145,0.6904761904761905,True,0.9047619047619048,3.4203017788367713,0.03578790403929652,0.4008199306212552,3.3899617686339307,0.037538973922902494,0.7579049837861058,14.848592586440965,0.7333333333333334,0.8671721961365214,0,0,0,,33.006;8.0552;6.3048
2627,homogeneous,0.98,42,5,0.4,14,210,142,0.6761904761904762,True,0.8809523809523809,3.3874870330953715,0.03635805447129512,0.39703563544623166,3.361064406241185,0.03787556689342403,0.7740762574919775,15.160556306481345,0.7461309523809524,0.8529989594066792,0,0,0,,33.26;8.4062;7.0073
2628,homogeneous,0.98,42,5,0.4,14,210,150,0.7142857142857143,True,0.9285714285714286,3.443627702093561,0.03477035259583688,0.3758329270274663,3.407715910445595,0.03668863378684807,0.7717021256874358,14.804322158326384,0.7568783068783068,0.8537499526489797,0,0,0,,31.548;8.2495;6.2997
2629,homogeneous,0.98,42,5,0.4,14,210,138,0.6571428571428571,True,0.8571428571428571,3.3560201648138968,0.03753333333333334,0.421904761904762,3.3325427548986366,0.03886763038548752,0.7200195970334472,14.316734285621115,0.7797619047619048,0.9007164450189783,0,0,0,,33.556;7.1762;5.3354
2630,homogeneous,0.98,42,5,0.4,14,210,145,0.6904761904761905,True,0.8809523809523809,3.402457196201395,0.03594771241830065,0.4002489884842826,3.384464331437429,0.03688350340136053,0.7556925218521702,14.902592668598833,0.784313725490196,0.8731821418344515,0,0,0,,33.499;7.6948;6.6808
