seed,condition,dependency,n_strata,items_per_stratum,hard_fraction,stopped_round,no_new_rounds,recall,false_completion,exposure_gini,exposure_entropy,exposure_hhi,exposure_max_mass,discovery_gini,discovery_entropy,discovery_hhi,discovery_max_mass,exposure_coverage_ratio,discovery_coverage_ratio,discovery_per_exposure,effective_rank_exposure,effective_rank_discovery,scout_strategy,scout_new_items,scout_cost,scout_novelty_per_cost
31953,homogeneous,0.98,42,5,0.4,14,0,0.6761904761904762,True,0.43480725623582783,3.370787750210642,0.03792871315192744,0.05357142857142857,0.4093959731543626,3.399039618151285,0.036484843025088955,0.04697986577181208,0.9047619047619048,0.9047619047619048,0.8869047619047619,0.8181990512731846,0.7636499443524701,none,0,0,
31954,homogeneous,0.98,42,5,0.4,14,0,0.7142857142857143,True,0.40150226757369634,3.4242621238518414,0.035838293650793655,0.050595238095238096,0.37806401249024213,3.446865180782633,0.034711099166890635,0.04590163934426229,0.9285714285714286,0.9285714285714286,0.9077380952380952,0.8124606797579027,0.7473628387272743,none,0,0,
31955,homogeneous,0.98,42,5,0.4,14,0,0.6714285714285714,True,0.44727891156462585,3.3685536248421326,0.03884991496598639,0.06547619047619048,0.4147619047619049,3.4036794754399495,0.03671111111111111,0.05,0.9285714285714286,0.9285714285714286,0.8928571428571429,0.8064067752961378,0.7612341910396486,none,0,0,
31956,homogeneous,0.98,42,5,0.4,14,0,0.6857142857142857,True,0.42970521541950113,3.370657025891276,0.0375921201814059,0.05654761904761905,0.41136256482791134,3.3917458966565173,0.03645612085961071,0.04950495049504951,0.8571428571428571,0.8571428571428571,0.9017857142857143,0.8053935965454242,0.7509283101957115,none,0,0,
31957,homogeneous,0.98,42,5,0.4,14,0,0.680952380952381,True,0.435374149659864,3.3579399105838084,0.03784013605442176,0.05654761904761905,0.41316526610644266,3.3790495588963867,0.03660985091204238,0.049019607843137254,0.8333333333333334,0.8333333333333334,0.9107142857142857,0.7716895034223997,0.7170245343388721,none,0,0,
31958,homogeneous,0.98,42,5,0.4,14,0,0.6857142857142857,True,0.43905895691609986,3.367945080323197,0.03835388321995464,0.06547619047619048,0.41491022638563635,3.3937356245823205,0.036839559258263904,0.04918032786885246,0.9047619047619048,0.9047619047619048,0.9077380952380952,0.7959100464580718,0.7594808244855681,none,0,0,
31959,homogeneous,0.98,42,5,0.4,14,0,0.6857142857142857,True,0.4243197278911566,3.3699688347249164,0.03734410430839002,0.05357142857142857,0.39910419613389925,3.391983579906665,0.036151139866461894,0.04950495049504951,0.8571428571428571,0.8571428571428571,0.9017857142857143,0.8099452915958715,0.7413255624828309,none,0,0,
31960,homogeneous,0.98,42,5,0.4,14,0,0.6476190476190476,True,0.44798752834467126,3.33396595536086,0.0390093537414966,0.05654761904761905,0.42423498609065624,3.360506627865399,0.03765897899174548,0.05154639175257732,0.8809523809523809,0.8809523809523809,0.8660714285714286,0.8430548299797526,0.7675553691729956,none,0,0,
31961,homogeneous,0.98,42,5,0.4,14,0,0.719047619047619,True,0.41397392290249435,3.4422663315055666,0.03652919501133787,0.05654761904761905,0.38617511520737335,3.471672913761281,0.03485952133194589,0.04838709677419355,0.9761904761904762,0.9761904761904762,0.9226190476190477,0.7817012149387451,0.74224012041648,none,0,0,
31962,homogeneous,0.98,42,5,0.4,14,0,0.6571428571428571,True,0.4611678004535149,3.3148028679380523,0.039576247165532874,0.05357142857142857,0.432915057915058,3.343716428284218,0.0379154492330168,0.05067567567567568,0.8095238095238095,0.8095238095238095,0.8809523809523809,0.8060794266963861,0.7726050483421233,none,0,0,
31963,homogeneous,0.98,42,5,0.4,14,1,0.7047619047619048,True,0.4124149659863947,3.3997430226809433,0.036546910430839,0.05654761904761905,0.3974123411422448,3.415121007209581,0.03576265754076157,0.04823151125401929,0.9047619047619048,0.9047619047619048,0.9255952380952381,0.7927793075045962,0.7487030828106512,none,0,0,
31964,homogeneous,0.98,42,5,0.4,14,0,0.6619047619047619,True,0.46201814058956914,3.3455053463853925,0.039647108843537414,0.05654761904761905,0.4319727891156464,3.3836503954564288,0.03755053478857338,0.05226480836236934,0.9047619047619048,0.9047619047619048,0.8541666666666666,0.8385554613635092,0.7759091183784079,none,0,0,
31965,homogeneous,0.98,42,5,0.4,14,0,0.6666666666666666,True,0.4461451247165533,3.3467652152926464,0.038601899092970515,0.05654761904761905,0.41739867468022807,3.370648581912853,0.037148752107749185,0.04854368932038835,0.8571428571428571,0.8571428571428571,0.9196428571428571,0.7595119784921444,0.7239960935605326,none,0,0,
31966,homogeneous,0.98,42,5,0.4,14,0,0.6857142857142857,True,0.45578231292517013,3.3460757679716733,0.039345946712018146,0.05952380952380952,0.4252819548872182,3.3771672020604617,0.03743940443213297,0.049342105263157895,0.8809523809523809,0.8809523809523809,0.9047619047619048,0.7649825755062917,0.7377784423895486,none,0,0,
31967,homogeneous,0.98,42,5,0.4,14,0,0.6904761904761905,True,0.42970521541950113,3.3860942890291055,0.03750354308390023,0.05952380952380952,0.3983700862895494,3.4171974832074374,0.03574163325976307,0.050335570469798654,0.9047619047619048,0.9047619047619048,0.8869047619047619,0.82363665293167,0.7809232924192807,none,0,0,
31968,homogeneous,0.98,42,5,0.4,14,0,0.6619047619047619,True,0.46130952380952395,3.341104153827641,0.03970025510204082,0.06845238095238096,0.4203042328042328,3.385846484053395,0.036940586419753084,0.052083333333333336,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8432668509038095,0.7929527071293418,none,0,0,
31969,homogeneous,0.98,42,5,0.4,14,0,0.6619047619047619,True,0.43523242630385495,3.3691373135401186,0.03803500566893423,0.0625,0.40460157126823804,3.3996626581611027,0.0363341609132855,0.050505050505050504,0.9047619047619048,0.9047619047619048,0.8839285714285714,0.8267586554802393,0.7876662713242243,none,0,0,
31970,homogeneous,0.98,42,5,0.4,14,0,0.6857142857142857,True,0.4308390022675739,3.3715387091043834,0.037645266439909286,0.05357142857142857,0.41145347027699986,3.3918706122956253,0.036545772993293174,0.049019607843137254,0.8809523809523809,0.8809523809523809,0.9107142857142857,0.8126379180986526,0.7591156143397257,none,0,0,
31971,homogeneous,0.98,42,5,0.4,14,0,0.7047619047619048,True,0.4243197278911566,3.4088670946933988,0.03723781179138322,0.05654761904761905,0.3973997493734336,3.43868063749556,0.03562153739612189,0.049342105263157895,0.9285714285714286,0.9285714285714286,0.9047619047619048,0.8058810381602576,0.7692357559239471,none,0,0,
31972,homogeneous,0.98,42,5,0.4,14,0,0.6857142857142857,True,0.43310657596371893,3.3733529168759175,0.0377515589569161,0.05952380952380952,0.4036761284318289,3.4000495242470374,0.03610648388842322,0.048859934853420196,0.8809523809523809,0.8809523809523809,0.9136904761904762,0.8026846740106021,0.7462809400485799,none,0,0,
31973,homogeneous,0.98,42,5,0.4,14,0,0.6761904761904762,True,0.4566326530612246,3.345266428447496,0.03945223922902495,0.06845238095238096,0.42457654202620665,3.3799530500857955,0.03729561731453537,0.050335570469798654,0.8809523809523809,0.8809523809523809,0.8869047619047619,0.7786065793994269,0.736791081209204,none,0,0,
31974,homogeneous,0.98,42,5,0.4,14,0,0.6523809523809524,True,0.4641439909297054,3.3141564795125813,0.03982426303854875,0.05654761904761905,0.4305621914317568,3.344570719561738,0.03799733783738437,0.046822742474916385,0.8333333333333334,0.8333333333333334,0.8898809523809523,0.7865982816465554,0.7207610262248952,none,0,0,
31975,homogeneous,0.98,42,5,0.4,14,0,0.680952380952381,True,0.4254535147392291,3.3774096017894375,0.03730867346938774,0.050595238095238096,0.40522875816993476,3.396950711755321,0.03631082062454611,0.0457516339869281,0.8809523809523809,0.8809523809523809,0.9107142857142857,0.8079093733059128,0.7529005874407462,none,0,0,
31976,homogeneous,0.98,42,5,0.4,14,0,0.6666666666666666,True,0.4440192743764173,3.349002782197331,0.03872590702947846,0.05952380952380952,0.42406692406692414,3.372175471459833,0.037527392257122,0.05067567567567568,0.9047619047619048,0.9047619047619048,0.8809523809523809,0.8378921869251753,0.7637702592029408,none,0,0,
31977,homogeneous,0.98,42,5,0.4,14,0,0.6666666666666666,True,0.47406462585034026,3.323025686935533,0.04060374149659864,0.06845238095238096,0.4324995991662659,3.3678077620343925,0.03760387262070765,0.050505050505050504,0.8571428571428571,0.8571428571428571,0.8839285714285714,0.769164592670108,0.7309832528771792,none,0,0,
31978,homogeneous,0.98,42,5,0.4,14,0,0.6476190476190476,True,0.43835034013605445,3.3292209966369537,0.03847789115646258,0.050595238095238096,0.42333333333333334,3.345947611603851,0.0376888888888889,0.05,0.8333333333333334,0.8333333333333334,0.8928571428571429,0.8183504498490032,0.7517801894962507,none,0,0,
31979,homogeneous,0.98,42,5,0.4,14,0,0.6666666666666666,True,0.43424036281179146,3.3361856387332525,0.03824759070294784,0.05357142857142857,0.41772053083528493,3.352168584469944,0.037420048374092976,0.04918032786885246,0.8333333333333334,0.8333333333333334,0.9077380952380952,0.8016342830349167,0.7442654195697923,none,0,0,
31980,prompt_diverse,0.0,42,5,0.4,14,0,0.6761904761904762,True,0.4899376417233561,3.316335976213145,0.043827947845804995,0.08630952380952381,0.4175550817341862,3.416203756476138,0.03645021162842504,0.055970149253731345,0.8809523809523809,0.8809523809523809,0.7976190476190477,0.8744263883749888,0.8324393258863519,none,0,0,
31981,prompt_diverse,0.0,42,5,0.4,14,0,0.6666666666666666,True,0.4873866213151927,3.3180258918797922,0.04221584467120181,0.0744047619047619,0.42045454545454564,3.4018212760337825,0.03687442607897153,0.056818181818181816,0.9047619047619048,0.9047619047619048,0.7857142857142857,0.9026548847788073,0.8112337064867373,none,0,0,
31982,prompt_diverse,0.0,42,5,0.4,14,0,0.6476190476190476,True,0.4827097505668936,3.2983621365886435,0.041135204081632654,0.06845238095238096,0.4339239571797713,3.357193223664895,0.037738116699717564,0.05813953488372093,0.8095238095238095,0.8095238095238095,0.7678571428571429,0.9219820842179786,0.840611303803905,none,0,0,
31983,prompt_diverse,0.0,42,5,0.4,14,0,0.680952380952381,True,0.4824263038548753,3.334606032391739,0.04166666666666667,0.06845238095238096,0.4129967776584318,3.4200922883023446,0.03646333879812312,0.05639097744360902,0.9047619047619048,0.9047619047619048,0.7916666666666666,0.9149247731039093,0.8300802051573983,none,0,0,
31984,prompt_diverse,0.0,42,5,0.4,14,0,0.6619047619047619,True,0.5031179138321997,3.2873851022114504,0.043827947845804995,0.08928571428571429,0.4390048154093098,3.3728782642400574,0.037944142855138946,0.056179775280898875,0.8571428571428571,0.8571428571428571,0.7946428571428571,0.8804988434953511,0.8079159521656462,none,0,0,
31985,prompt_diverse,0.0,42,5,0.4,14,0,0.6428571428571429,True,0.5021258503401362,3.289666783171808,0.04334963151927437,0.07738095238095238,0.45377128953771306,3.356513108135762,0.03916031754488786,0.05474452554744526,0.9047619047619048,0.9047619047619048,0.8154761904761905,0.8470683876700523,0.7732786305634135,none,0,0,
