source_coverage_ratio,coverage_entropy,coverage_hhi,coverage_gini,visit_entropy,visit_hhi,source_normalized_effective_rank,seed,condition,dependency,n_strata,items_per_stratum,hard_fraction,stopped_round,total_items,found_items,recall,false_completion,coverage_risk_lambda,scout_strategy,scout_new_items,scout_cost,scout_novelty_per_cost
0.9444444444444444,2.707283069481165,0.06920727474663337,0.24716553287981857,2.6948150382222917,0.07033021541950114,0.6339322025865735,10048,homogeneous,0.25,18,8,0.25,14,144,119,0.8263888888888888,True,0.01373141849332326,none,0,0,
0.9444444444444444,2.6897039697671423,0.07008817808011741,0.2565415244596132,2.675269318446335,0.07162344104308391,0.6282092227045812,10049,homogeneous,0.25,18,8,0.25,14,144,114,0.7916666666666666,True,0.014252306914422962,none,0,0,
0.9444444444444444,2.698458625984964,0.07017835909631391,0.2689655172413792,2.6735296682113345,0.07304067460317461,0.6163503114975766,10050,homogeneous,0.25,18,8,0.25,14,144,117,0.8125,True,0.014942528735632184,none,0,0,
0.8888888888888888,2.6719524642478154,0.07051484167379848,0.24757643549589847,2.661463925730109,0.07174744897959184,0.5791743548602569,10051,homogeneous,0.25,18,8,0.25,14,144,115,0.7986111111111112,True,0.02750849283287762,none,0,0,
1.0,2.688549429796044,0.07034635868730885,0.25601374570446733,2.664630208656181,0.07327097505668934,0.6167641945687702,10052,homogeneous,0.25,18,8,0.25,14,144,116,0.8055555555555556,True,0.0,none,0,0,
1.0,2.732240047602721,0.06834092418082913,0.24933636708380735,2.7158490652908878,0.06986961451247166,0.634187248378777,10053,homogeneous,0.25,18,8,0.25,14,144,121,0.8402777777777778,True,0.0,none,0,0,
1.0,2.703090380900138,0.06959145984415117,0.2509321401938851,2.693164655491653,0.07048965419501134,0.6021829988987221,10054,homogeneous,0.25,18,8,0.25,14,144,118,0.8194444444444444,True,0.0,none,0,0,
1.0,2.7373737554905127,0.06781896432042206,0.2411186696900982,2.7160031165923226,0.07002905328798185,0.6416866658709722,10055,homogeneous,0.25,18,8,0.25,14,144,122,0.8472222222222222,True,0.0,none,0,0,
0.9444444444444444,2.7123233809551444,0.06891001458679141,0.2513790386130812,2.681271141371083,0.07263321995464853,0.682246454984112,10056,homogeneous,0.25,18,8,0.25,14,144,119,0.8263888888888888,True,0.013965502145171184,none,0,0,
0.9444444444444444,2.715754623923927,0.06884499906173766,0.25418569254185686,2.6901017509499723,0.07196003401360544,0.6429899916550478,10057,homogeneous,0.25,18,8,0.25,14,144,120,0.8333333333333334,True,0.014121427363436499,none,0,0,
1.0,2.7128499615352126,0.07020939205134288,0.2797408716136631,2.681084443943779,0.07385558390022676,0.6600923755621976,10058,homogeneous,0.25,18,8,0.25,14,144,120,0.8333333333333334,True,0.0,none,0,0,
1.0,2.756817391003079,0.06677994532126479,0.2348734873487348,2.741934269270298,0.06820436507936507,0.6210750332452398,10059,homogeneous,0.25,18,8,0.25,14,144,122,0.8472222222222222,True,0.0,none,0,0,
1.0,2.7687517069335477,0.06557306094182826,0.20065789473684204,2.7567617940030713,0.06660997732426303,0.6222206133208287,10060,homogeneous,0.5,18,8,0.25,14,144,125,0.8680555555555556,True,0.0,none,0,0,
0.9444444444444444,2.727297776834527,0.06774954879911149,0.23960695389266817,2.704325965187726,0.07052508503401361,0.6514830856360548,10061,homogeneous,0.5,18,8,0.25,14,144,121,0.8402777777777778,True,0.01331149743848157,none,0,0,
1.0,2.7614759376958595,0.06626430801248699,0.22150537634408596,2.7486820187583536,0.06754889455782313,0.603966877975494,10062,homogeneous,0.5,18,8,0.25,14,144,125,0.8680555555555556,True,0.0,none,0,0,
1.0,2.744184171952048,0.06725582211306522,0.23877851361295077,2.721854466716868,0.06983418367346937,0.6404178799244941,10063,homogeneous,0.5,18,8,0.25,14,144,122,0.8472222222222222,True,0.0,none,0,0,
1.0,2.717110408660288,0.06898573841246011,0.2530441400304413,2.690271614618893,0.07210175736961452,0.6344061475201715,10064,homogeneous,0.5,18,8,0.25,14,144,118,0.8194444444444444,True,0.0,none,0,0,
0.9444444444444444,2.6961111599346674,0.06992091811053568,0.25956893348197685,2.6859368100570755,0.07091482426303855,0.5913881485368481,10065,homogeneous,0.5,18,8,0.25,14,144,117,0.8125,True,0.014420496304554276,none,0,0,
1.0,2.7188095985242366,0.06870439528871014,0.24463276836158188,2.703827427601869,0.07024163832199547,0.6283883609040731,10066,homogeneous,0.5,18,8,0.25,14,144,120,0.8333333333333334,True,0.0,none,0,0,
1.0,2.724690351249405,0.0686211157591629,0.24897119341563778,2.7064652562690767,0.07056051587301587,0.6646147680294335,10067,homogeneous,0.5,18,8,0.25,14,144,121,0.8402777777777778,True,0.0,none,0,0,
1.0,2.7398397618913664,0.06773915541511061,0.24613935969868161,2.7232883310799774,0.06935586734693877,0.6357040121200784,10068,homogeneous,0.5,18,8,0.25,14,144,124,0.8611111111111112,True,0.0,none,0,0,
1.0,2.702956788119442,0.06985349037632864,0.2574387947269303,2.6760055318974922,0.07316468253968254,0.6099965821216845,10069,homogeneous,0.5,18,8,0.25,14,144,117,0.8125,True,0.0,none,0,0,
1.0,2.7397524329256946,0.06742222222222222,0.23037037037037034,2.7225237654184107,0.06923185941043085,0.6096672410834921,10070,homogeneous,0.5,18,8,0.25,14,144,122,0.8472222222222222,True,0.0,none,0,0,
1.0,2.749605773211878,0.06692841490138787,0.22597597597597585,2.726122193425182,0.06949759070294784,0.650757431174915,10071,homogeneous,0.5,18,8,0.25,14,144,123,0.8541666666666666,True,0.0,none,0,0,
0.9444444444444444,2.7318765619681633,0.06780487251867724,0.24223718668163108,2.719153024605525,0.06903698979591837,0.6708305867220737,10072,homogeneous,0.5,18,8,0.25,14,144,123,0.8541666666666666,True,0.013457621482312844,none,0,0,
0.9444444444444444,2.7133594179720526,0.06880250314593749,0.24710063598952492,2.69843168010432,0.07036564625850339,0.6172384677350139,10073,homogeneous,0.5,18,8,0.25,14,144,120,0.8333333333333334,True,0.013727813110529168,none,0,0,
1.0,2.7156036984263983,0.06936624476374939,0.25689783743475014,2.6950095677672006,0.07158801020408163,0.6217807826927013,10074,homogeneous,0.5,18,8,0.25,14,144,117,0.8125,True,0.0,none,0,0,
1.0,2.7342341693174923,0.06813390580677917,0.2471391657438169,2.707678447572441,0.0714108560090703,0.6176398021415207,10075,homogeneous,0.5,18,8,0.25,14,144,123,0.8541666666666666,True,0.0,none,0,0,
