task,budget,challenger,seed,decision,false_certification,safe,continue,abstain,cost,runtime_residual_items,repair_gain,cumulative_recall,after_support_ratio,after_exposure_gini,after_weak_plausible_gap
requests,1,random,88,CONTINUE,False,False,True,False,1039,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,89,CONTINUE,False,False,True,False,1086,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,90,CONTINUE,False,False,True,False,1039,20,20,0.1711409395973154,0.2916666666666667,0.8846726190476191,14
requests,1,random,91,ABSTAIN,False,False,False,True,831,0,0,0.1040268456375839,0.25,0.888392857142857,15
requests,1,random,92,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,random,93,CONTINUE,False,False,True,False,1086,30,30,0.2046979865771812,0.2916666666666667,0.8846726190476191,14
requests,1,random,94,ABSTAIN,False,False,False,True,696,0,0,0.1040268456375839,0.25,0.8891369047619047,15
requests,1,random,95,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,random,96,CONTINUE,False,False,True,False,831,7,7,0.1275167785234899,0.2916666666666667,0.8846726190476191,14
requests,1,random,97,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,random,98,ABSTAIN,False,False,False,True,314,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,99,CONTINUE,False,False,True,False,1086,30,30,0.2046979865771812,0.2916666666666667,0.8846726190476191,14
requests,1,random,100,CONTINUE,False,False,True,False,831,9,9,0.1342281879194631,0.2916666666666667,0.8846726190476191,14
requests,1,random,101,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,102,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,random,103,ABSTAIN,False,False,False,True,1039,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,104,CONTINUE,False,False,True,False,831,33,33,0.2147651006711409,0.2916666666666667,0.8846726190476191,14
requests,1,random,105,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,106,ABSTAIN,False,False,False,True,1039,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,107,CONTINUE,False,False,True,False,696,38,38,0.2315436241610738,0.2916666666666667,0.8846726190476191,14
requests,1,random,108,CONTINUE,False,False,True,False,696,64,64,0.3187919463087248,0.2916666666666667,0.8846726190476191,14
requests,1,random,109,ABSTAIN,False,False,False,True,1039,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,110,CONTINUE,False,False,True,False,1039,42,42,0.2449664429530201,0.2916666666666667,0.8846726190476191,14
requests,1,random,111,CONTINUE,False,False,True,False,314,5,5,0.1208053691275167,0.2916666666666667,0.8846726190476191,14
requests,1,random,112,CONTINUE,False,False,True,False,157,3,3,0.1140939597315436,0.2916666666666667,0.8846726190476191,14
requests,1,random,113,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,114,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,random,115,CONTINUE,False,False,True,False,1039,20,20,0.1711409395973154,0.2916666666666667,0.8846726190476191,14
requests,1,random,116,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.25,0.8876488095238095,15
requests,1,random,117,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,random,118,ABSTAIN,False,False,False,True,314,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,119,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,random,120,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,121,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,122,CONTINUE,False,False,True,False,1086,1,1,0.1073825503355704,0.2916666666666667,0.8846726190476191,14
requests,1,random,123,CONTINUE,False,False,True,False,696,64,64,0.3187919463087248,0.2916666666666667,0.8846726190476191,14
