method,risk_threshold,coverage,false_certification_rate,certified
no_new_item,0.6000000000000001,0.9519230769230769,0.8047138047138047,891
no_new_item,0.65,0.9551282051282052,0.8053691275167785,894
no_new_item,0.7000000000000001,0.9615384615384616,0.8055555555555556,900
no_new_item,0.75,0.9861111111111112,0.80931744312026,923
no_new_item,0.8,0.9903846153846154,0.8101402373247033,927
no_new_item,0.8500000000000001,0.9925213675213675,0.8105489773950484,929
no_new_item,0.9,0.9978632478632479,0.8115631691648822,934
no_new_item,0.9500000000000001,0.9989316239316239,0.8117647058823529,935
no_new_item,1.0,1.0,0.811965811965812,936
good_turing_only,0.0,0.013888888888888888,0.0,13
good_turing_only,0.05,0.021367521367521368,0.0,20
good_turing_only,0.1,0.023504273504273504,0.09090909090909091,22
good_turing_only,0.15000000000000002,0.024572649572649572,0.13043478260869565,23
good_turing_only,0.2,0.028846153846153848,0.25925925925925924,27
good_turing_only,0.25,0.03311965811965812,0.3225806451612903,31
good_turing_only,0.30000000000000004,0.035256410256410256,0.36363636363636365,33
good_turing_only,0.35000000000000003,0.03739316239316239,0.34285714285714286,35
good_turing_only,0.4,0.0405982905982906,0.39473684210526316,38
good_turing_only,0.45,0.045940170940170943,0.46511627906976744,43
good_turing_only,0.5,0.049145299145299144,0.5,46
good_turing_only,0.55,0.053418803418803416,0.52,50
good_turing_only,0.6000000000000001,0.05448717948717949,0.5294117647058824,51
good_turing_only,0.65,0.05448717948717949,0.5294117647058824,51
good_turing_only,0.7000000000000001,0.056623931623931624,0.5471698113207547,53
good_turing_only,0.75,0.05876068376068376,0.5636363636363636,55
good_turing_only,0.8,0.05982905982905983,0.5714285714285714,56
good_turing_only,0.8500000000000001,0.06196581196581197,0.5862068965517241,58
good_turing_only,0.9,0.0641025641025641,0.6,60
good_turing_only,0.9500000000000001,0.0641025641025641,0.6,60
good_turing_only,1.0,1.0,0.811965811965812,936
chao_only,0.0,0.023504273504273504,0.4090909090909091,22
chao_only,0.05,0.03311965811965812,0.3548387096774194,31
chao_only,0.1,0.038461538461538464,0.4166666666666667,36
chao_only,0.15000000000000002,0.0405982905982906,0.4473684210526316,38
chao_only,0.2,0.042735042735042736,0.475,40
chao_only,0.25,0.04487179487179487,0.4523809523809524,42
chao_only,0.30000000000000004,0.05128205128205128,0.5208333333333334,48
chao_only,0.35000000000000003,0.06303418803418803,0.6101694915254238,59
chao_only,0.4,0.06623931623931624,0.6290322580645161,62
chao_only,0.45,0.06837606837606838,0.640625,64
chao_only,0.5,0.08547008547008547,0.7125,80
chao_only,0.55,0.0876068376068376,0.7073170731707317,82
chao_only,0.6000000000000001,0.1014957264957265,0.7473684210526316,95
chao_only,0.65,0.10256410256410256,0.75,96
chao_only,0.7000000000000001,0.11217948717948718,0.7714285714285715,105
chao_only,0.75,0.1346153846153846,0.8095238095238095,126
chao_only,0.8,0.1517094017094017,0.8309859154929577,142
chao_only,0.8500000000000001,0.15918803418803418,0.8389261744966443,149
chao_only,0.9,0.2745726495726496,0.9066147859922179,257
chao_only,0.9500000000000001,0.4391025641025641,0.9416058394160584,411
chao_only,1.0,1.0,0.811965811965812,936
logistic_regression,0.0,0.0,,0
logistic_regression,0.05,0.03632478632478633,0.17647058823529413,34
logistic_regression,0.1,0.03739316239316239,0.2,35
logistic_regression,0.15000000000000002,0.045940170940170943,0.3488372093023256,43
logistic_regression,0.2,0.07692307692307693,0.5416666666666666,72
logistic_regression,0.25,0.10897435897435898,0.4019607843137255,102
logistic_regression,0.30000000000000004,0.11965811965811966,0.42857142857142855,112
logistic_regression,0.35000000000000003,0.19444444444444445,0.2857142857142857,182
logistic_regression,0.4,0.2168803418803419,0.26108374384236455,203
logistic_regression,0.45,0.2329059829059829,0.25229357798165136,218
logistic_regression,0.5,0.25213675213675213,0.2627118644067797,236
logistic_regression,0.55,0.25747863247863245,0.27800829875518673,241
logistic_regression,0.6000000000000001,0.25961538461538464,0.2839506172839506,243
logistic_regression,0.65,0.2638888888888889,0.29554655870445345,247
logistic_regression,0.7000000000000001,0.2670940170940171,0.304,250
logistic_regression,0.75,0.2724358974358974,0.3137254901960784,255
logistic_regression,0.8,0.2767094017094017,0.32432432432432434,259
logistic_regression,0.8500000000000001,0.2777777777777778,0.3269230769230769,260
logistic_regression,0.9,0.28739316239316237,0.34944237918215615,269
logistic_regression,0.9500000000000001,0.3055555555555556,0.3881118881118881,286
logistic_regression,1.0,1.0,0.811965811965812,936
regularized_logistic_regression,0.0,0.0,,0
regularized_logistic_regression,0.05,0.008547008547008548,0.0,8
regularized_logistic_regression,0.1,0.013888888888888888,0.0,13
regularized_logistic_regression,0.15000000000000002,0.018162393162393164,0.0,17
regularized_logistic_regression,0.2,0.023504273504273504,0.0,22
regularized_logistic_regression,0.25,0.023504273504273504,0.0,22
regularized_logistic_regression,0.30000000000000004,0.023504273504273504,0.0,22
regularized_logistic_regression,0.35000000000000003,0.024572649572649572,0.0,23
regularized_logistic_regression,0.4,0.026709401709401708,0.08,25
regularized_logistic_regression,0.45,0.026709401709401708,0.08,25
regularized_logistic_regression,0.5,0.028846153846153848,0.14814814814814814,27
regularized_logistic_regression,0.55,0.03632478632478633,0.3235294117647059,34
regularized_logistic_regression,0.6000000000000001,0.07158119658119658,0.40298507462686567,67
regularized_logistic_regression,0.65,0.12179487179487179,0.5087719298245614,114
regularized_logistic_regression,0.7000000000000001,0.26495726495726496,0.4879032258064516,248
regularized_logistic_regression,0.75,0.3525641025641026,0.47575757575757577,330
regularized_logistic_regression,0.8,0.4113247863247863,0.5506493506493506,385
regularized_logistic_regression,0.8500000000000001,0.5363247863247863,0.6553784860557769,502
regularized_logistic_regression,0.9,0.6303418803418803,0.7033898305084746,590
regularized_logistic_regression,0.9500000000000001,0.719017094017094,0.7399702823179792,673
regularized_logistic_regression,1.0,1.0,0.811965811965812,936
decision_tree,0.0,0.021367521367521368,0.0,20
decision_tree,0.05,0.11752136752136752,0.01818181818181818,110
decision_tree,0.1,0.11752136752136752,0.01818181818181818,110
decision_tree,0.15000000000000002,0.11752136752136752,0.01818181818181818,110
decision_tree,0.2,0.13995726495726496,0.06870229007633588,131
decision_tree,0.25,0.13995726495726496,0.06870229007633588,131
decision_tree,0.30000000000000004,0.13995726495726496,0.06870229007633588,131
decision_tree,0.35000000000000003,0.13995726495726496,0.06870229007633588,131
decision_tree,0.4,0.13995726495726496,0.06870229007633588,131
decision_tree,0.45,0.13995726495726496,0.06870229007633588,131
decision_tree,0.5,0.13995726495726496,0.06870229007633588,131
decision_tree,0.55,0.13995726495726496,0.06870229007633588,131
decision_tree,0.6000000000000001,0.27350427350427353,0.3203125,256
decision_tree,0.65,0.27350427350427353,0.3203125,256
decision_tree,0.7000000000000001,0.27350427350427353,0.3203125,256
decision_tree,0.75,0.2799145299145299,0.3282442748091603,262
decision_tree,0.8,0.2799145299145299,0.3282442748091603,262
decision_tree,0.8500000000000001,0.2799145299145299,0.3282442748091603,262
decision_tree,0.9,0.2799145299145299,0.3282442748091603,262
decision_tree,0.9500000000000001,0.2799145299145299,0.3282442748091603,262
decision_tree,1.0,1.0,0.811965811965812,936
gradient_boosting,0.0,0.0,,0
gradient_boosting,0.05,0.0,,0
gradient_boosting,0.1,0.004273504273504274,0.0,4
gradient_boosting,0.15000000000000002,0.004273504273504274,0.0,4
gradient_boosting,0.2,0.021367521367521368,0.0,20
gradient_boosting,0.25,0.17841880341880342,0.017964071856287425,167
gradient_boosting,0.30000000000000004,0.18055555555555555,0.01775147928994083,169
gradient_boosting,0.35000000000000003,0.18055555555555555,0.01775147928994083,169
gradient_boosting,0.4,0.18482905982905984,0.017341040462427744,173
gradient_boosting,0.45,0.18482905982905984,0.017341040462427744,173
gradient_boosting,0.5,0.18803418803418803,0.022727272727272728,176
gradient_boosting,0.55,0.19658119658119658,0.04891304347826087,184
gradient_boosting,0.6000000000000001,0.1997863247863248,0.06417112299465241,187
gradient_boosting,0.65,0.1997863247863248,0.06417112299465241,187
gradient_boosting,0.7000000000000001,0.1997863247863248,0.06417112299465241,187
gradient_boosting,0.75,0.20085470085470086,0.06914893617021277,188
gradient_boosting,0.8,0.20405982905982906,0.08376963350785341,191
gradient_boosting,0.8500000000000001,0.24145299145299146,0.22123893805309736,226
gradient_boosting,0.9,0.24893162393162394,0.2446351931330472,233
gradient_boosting,0.9500000000000001,0.4252136752136752,0.5577889447236181,398
gradient_boosting,1.0,1.0,0.811965811965812,936
